essential,xorg,X server
essential,xorg-xinit,Display server boot
essential,man,Manual
essential,man-db,A utility for reading man pages
essential,man-pages,Manual pages
essential,tldr,A directory listing program displaying a depth indented list of files
essential,openssh,Remote login tool for SSH protocol
essential,pacman-contrib,Contributed scripts and tools for pacman systems
essential,neofetch,A CLI system information tool written in BASH that supports displaying images
essential,fd,Simple fast and user-friendly alternative to find
essential,eza,A modern replacement for ls (community fork of exa)
essential,dosfstools,DOS filesystem utilities
essential,bat,Cat clone with syntax highlighting and git integration
essential,atuin,Magical shell history
essential,chezmoi,Manage your dotfiles across multiple machines
essential,cowsay,useless therefore important!
network,networkmanager,Network manager
network,wget,a simple script that checks the weather condition via http://wttr.in
network,speedtest-cli,Command line interface for testing internet bandwidth using speedtest.net
network,nfs-utils,Support programs for Network File Systems
network,network-manager-applet,Applet for managing network connections
network,net-tools,Configuration tools for Linux networking
network,gufw,Uncomplicated way to manage your Linux firewall
network,expressvpn,Proprietary VPN client for Linux
network,arp-scan,A tool that uses ARP to discover and fingerprint IP hosts on the local network
tools,rsync,Synchronizing files across computers
tools,arandr,xrandr GUI
tools,xsel,Manipulate the X selection
tools,fzf,Command line fuzzy finder
tools,scrot,Screenshot software
tools,udiskie,Automount devices
tools,lxappearance,Theme switcher for GTK+
tools,xcape,Configure modifier keys to act as other keys
tools,ripgrep,Faster alternative to grep
tools,ripgrep-all,rga
tools,htop,Interactive process viewer
tools,zoxide,A smarter cd command for your terminal
tools,xvkbd,virtual (graphical) keyboard program for X Window System
tools,xf86-video-vesa 2.6.0-1,X.org vesa video driver
tools,xf86-video-amdgpu-git,X.org amdgpu video driver (git version)
tools,xdg-utils,Command line tools that assist applicatiions with variety of desktop integration tasks
tools,xclip,Command line interface to the X11 clipboard
tools,xbindkeys,Launch shell commands with your keyboard or your mouse under X
tools,usbutils,A collection of USB tools to query connected USB devices
tools,tree,A directory listing program displaying a depth indented list of files
tools,the_silver_searcher,Code searching tool similar to Ack but faster
tools,system-config-printer,A CUPS printer configuration tool and status applet
tools,sysstat,a collection of performance monitoring tools
tools,sshfs,FUSE client based on the SSH File Transfer Protocol
tools,solaar,Linux device manager for a wide range of Logitech devices
tools,shntool,A multi-purpose WAVE data processing and reporting utility
tools,rustup,The Rust toolchain installer
tools,rofi,A window switcher application launcher and dmenu replacement
tools,reflector,A Python 3 module and script to retrieve and filter the latest Pacman mirror list.
tools,pandoc-cli,Conversion between documentation formats
tools,os-prober,Utility to detect other OSes on a set of drives
tools,ntfs-3g,NTFS filesystem driver and utilities
tools,navi,An interactive cheatsheet tool for the command-line
tools,mtools,A collection of utilities to access MS-DOS disks
tools,mesa,An open-source implementation of the OpenGL specification
tools,mesa-utils,Essential Mesa utilities
tools,lshw,A small tool to provide detailed information on the hardware configuration of the machine.
tools,lsof,Lists open files for running Unix processes
tools,kitty,A modern hackable featureful OpenGL-based terminal emulator
tools,hplip,Drivers for HP DeskJet OfficeJet Photosmart Business Inkjet and some LaserJet
tools,dmenu,Generic menu for X
tools,cups,OpenPrinting CUPS - daemon package
tools,cronie,Daemon that runs specified programs at scheduled times and related tools
tools,brightnessctl,Lightweight brightness control tool
tools,bluez,Daemons for the bluetooth protocol stack
tools,bluez-utils,Development and debugging utilities for the bluetooth protocol stack
tools,advcpmv,'cp' and 'mv' utilities with progress bar patches
tools,newsboat,RSS/Atom feed reader for text terminals
tools,samba,SMB Fileserver and AD Domain server
compression,unzip,For extracting and viewing files in .zip archives
compression,unrar,The RAR uncompression program
compression,p7zip,Command-line file archiver with high compression ratio
compression,atool,A script for managing file archives of various types
password,pwgen,Password generator for creating easily memorable passwords
password,pass,Stores retrieves generates and synchronizes passwords securely
password,pass-tessen,fuzzy data selection and copy-paste from password store
password,pass-update,A pass extension that provides an easy flow for updating passwords.
password,age,A simple modern and secure file encryption tool
tmux,tmux,Terminal multiplexer
tmux,tmuxp,Configure tmux session + windows + panes via config files
notifier,dunst,Notification system
notifier,libnotify,Notifier
file_mngr,ranger,Simple vim-like file manager
file_mngr,nnn,The fastest terminal file manager ever written.
file_mngr,ncdu,Disk usage analyzer with an ncurses interface
git,git,Version control system
git,diff-so-fancy,Human readable git diff
git,grv,Git repository viewer
git,gitin,Commit/branch/workdir explorer for git
git,git-delta,Syntax-highlighting pager for git and diff output
git,meld,Compare files directories and working copies
i3,i3-wm,i3 window tile manager
i3,i3status,i3 status bar
